dataset_id,fov_id,old_embryo_id,new_embryo_id,stage_1,t_start_1,t_end_1,stage_2,t_start_2,t_end_2,stage_3,t_start_3,t_end_3,stage_4,t_start_4,t_end_4,stage_5,t_start_5,t_end_5,notes
230719,0,1,0399-0630,proliferation,2,36,bean,37,54,comma,55,56,fold,57,137,hatch,138,165,
230719,0,2,1047-0762,proliferation,2,31,bean,32,46,comma,47,48,fold,49,140,hatch,141,165,
230719,0,3,1069-0907,proliferation,2,38,bean,39,47,comma,48,49,fold,50,135,hatch,136,165,
230719,1,0,0810-0181,proliferation,2,26,bean,27,41,comma,42,43,fold,44,134,hatch,135,165,
230719,1,1,1008-0370,proliferation,2,41,bean,42,57,comma,58,59,fold,60,142,hatch,143,165,
230719,1,2,0734-0693,proliferation,2,43,bean,44,57,comma,58,59,fold,60,144,hatch,145,165,
230719,10,0,0484-0178,proliferation,2,18,bean,19,39,comma,40,41,fold,42,136,hatch,137,165,
230719,10,1,0953-0384,proliferation,2,40,bean,41,51,comma,52,53,fold,54,147,hatch,148,165,
230719,11,0,0519-0572,proliferation,2,36,bean,37,55,comma,56,57,fold,58,146,hatch,147,165,
230719,11,1,0084-0790,proliferation,2,27,bean,28,42,comma,43,44,fold,45,129,hatch,130,165,
230719,12,0,0428-0143,bean,2,15,comma,16,17,,,,,,,,,,
230719,13,0,0222-0105,proliferation,2,44,bean,45,57,comma,58,59,,,,,,,
230719,13,1,0326-0572,proliferation,2,42,bean,43,56,comma,57,57,,,,,,,
230719,15,0,0230-0089,proliferation,2,26,bean,27,40,comma,41,42,,,,,,,
230719,15,1,0311-0746,proliferation,2,29,bean,30,38,comma,39,40,,,,,,,
230719,15,2,1059-0772,proliferation,2,34,bean,35,51,comma,52,53,,,,,,,
230719,15,3,0680-0998,proliferation,2,37,bean,38,52,comma,53,54,,,,,,,
230719,16,0,0506-0297,proliferation,2,38,bean,39,55,comma,56,57,,,,,,,
230719,16,1,0138-0408,proliferation,2,31,bean,32,44,comma,45,46,,,,,,,
230719,16,3,0517-0519,proliferation,2,30,bean,31,40,comma,41,42,,,,,,,
230719,17,1,0580-0116,death,2,165,,,,,,,,,,,,,embryo is dying/dead from first frame
230719,17,2,0548-0569,proliferation,2,29,bean,30,38,comma,39,40,,,,,,,
230719,17,3,1013-0583,proliferation,2,,bean,37,53,comma,54,55,,,,,,,
230719,18,0,0709-0791,proliferation,2,44,bean,45,61,comma,62,63,,,,,,,
230719,19,0,0252-0204,proliferation,2,35,bean,36,47,comma,48,49,,,,,,,
230719,19,1,0231-0643,proliferation,2,20,bean,21,35,comma,36,36,,,,,,,
230719,3,0,1015-0140,proliferation,2,31,bean,32,48,comma,49,50,fold,51,135,hatch,136,165,
230719,3,1,0875-0175,fold,2,85,hatch,86,165,,,,,,,,,,
230719,3,2,1052-0235,proliferation,2,29,bean,30,42,comma,43,44,fold,45,130,hatch,131,165,
230719,3,3,0644-0440,proliferation,2,25,bean,26,39,comma,40,41,fold,42,132,hatch,133,165,
230719,3,4,1004-0439,proliferation,2,22,bean,23,37,comma,38,39,fold,40,122,hatch,123,165,
230719,3,5,0146-0922,proliferation,2,34,bean,35,51,comma,52,53,fold,54,144,hatch,145,165,
230719,3,6,0476-0960,proliferation,2,42,bean,43,54,comma,55,56,fold,57,153,hatch,154,165,
230719,30,2,0375-0320,proliferation,2,44,bean,45,59,comma,60,61,fold,62,147,hatch,148,165,"embryo is abnormal from beginning, but makes it through comma and beginning of fold, and then starts dying at frame 73"
230719,4,0,1026-0179,proliferation,2,25,bean,26,35,comma,36,37,fold,38,122,hatch,123,165,
230719,4,1,0995-0286,proliferation,2,16,bean,17,23,comma,24,25,fold,26,112,hatch,113,165,
230719,4,2,0418-0348,proliferation,2,31,bean,32,40,comma,41,42,fold,43,128,hatch,129,165,
230719,4,3,1074-0640,proliferation,2,0,bean,1,12,comma,13,14,fold,15,101,hatch,102,165,
230719,4,4,0286-0677,proliferation,2,41,bean,42,51,comma,52,53,fold,54,147,hatch,148,165,
230719,4,5,0436-0975,proliferation,2,34,bean,35,47,comma,48,49,fold,50,134,hatch,135,165,
230719,5,0,0593-0398,proliferation,2,15,bean,16,26,comma,27,28,fold,29,121,hatch,122,165,
230719,5,1,0126-0703,proliferation,2,44,bean,45,55,comma,56,57,fold,58,144,hatch,145,165,
230719,6,0,0731-0110,proliferation,2,36,bean,37,52,comma,53,54,fold,55,138,hatch,138,165,
230719,6,1,0496-0538,proliferation,2,46,bean,47,59,comma,60,61,fold,62,152,hatch,153,165,
230719,6,2,0812-0926,proliferation,2,9,bean,10,30,comma,31,32,fold,33,119,hatch,120,165,
230719,6,3,0328-0978,proliferation,2,42,bean,44,55,comma,56,57,fold,58,146,hatch,147,165,
230719,7,0,0589-0498,proliferation,2,38,bean,39,54,comma,55,56,fold,57,147,hatch,148,165,
230719,7,1,0653-0744,proliferation,2,41,bean,42,55,comma,56,57,fold,58,122,,,,starts leaving frame in 123
230719,7,2,0238-0943,proliferation,2,40,bean,41,52,comma,53,54,fold,55,138,hatch,139,165,"starts leaving frame in 137, but you can see the hatch in frame 139"
230719,77,3,0081-0920,proliferation,2,51,death,52,165,,,,,,,,,,embryo never makes it out of proliferation stage - brownian motion seems to begin at frame 32
230719,8,0,0737-0247,fold,2,73,hatch,74,165,,,,,,,,,,
230719,8,1,0181-0814,proliferation,2,5,bean,6,20,comma,21,22,fold,23,114,hatch,115,165,
230719,9,0,0274-0617,proliferation,2,36,bean,37,44,comma,45,46,fold,47,135,hatch,136,165,
230817,4,0,2014-0983,unfertilized,2,109,,,,,,,,,,,,,
230817,5,0,1812-1497,proliferation,2,43,bean,44,65,comma,66,67,fold,68,97,death,98,176,
230817,25,1,0550-0633,unfertilized,2,153,,,,,,,,,,,,,
230817,57,1,2085-1116,proliferation,2,38,bean,39,54,comma,55,65,fold,66,116,death,117,174,
230817,64,0,1647-0988,unfertilized,2,92,,,,,,,,,,,,,
231011,63,0,0431-0733,proliferation,2,39,death,40,189,,,,,,,,,,
231011,67,0,0417-0534,fold,2,36,death,37,189,,,,,,,,,,
231011,67,1,1951-0566,proliferation,2,29,death,30,189,,,,,,,,,,
231011,68,0,0379-0678,proliferation,2,8,bean,9,44,death,45,189,,,,,,,
231011,75,3,1210-1268,fold,2,75,death,76,189,,,,,,,,,,
231011,75,1,1290-1033,proliferation,2,26,bean,27,39,death,40,189,,,,,,,
231011,75,2,1841-1251,fold,2,44,death,45,189,,,,,,,,,,
231011,84,0,1140-0180,proliferation,2,11,bean,12,30,death,31,189,,,,,,,
231011,84,1,1676-0607,fold,2,71,death,72,189,,,,,,,,,,
231011,84,2,1797-1390,bean,2,22,death,23,189,,,,,,,,,,
231011,86,0,1545-0581,fold,2,75,death,76,189,,,,,,,,,,
231011,94,0,0868-2080,fold,2,65,death,66,189,,,,,,,,,,
231011,145,0,1163-0415,proliferation,2,49,death,50,189,,,,,,,,,,
231031,196,,2066-1139,proliferation,2,40,death,41,189,,,,,,,,,,0.75M NaCl
231031,196,,1336-0302,proliferation,2,27,death,28,189,,,,,,,,,,0.75M NaCl
231031,196,,0971-0169,proliferation,2,36,death,37,189,,,,,,,,,,0.75M NaCl
231031,196,,0399-0276,death,2,189,,,,,,,,,,,,,0.75M NaCl (embryo exploded from beginning)
231031,195,,0119-1875,fold,2,35,death,36,189,,,,,,,,,,0.75M NaCl
231031,194,,1837-1232,proliferation,2,17,death,28,189,,,,,,,,,,0.75M NaCl
231031,193,,1045-1421,proliferation,2,37,death,38,189,,,,,,,,,,0.75M NaCl
231031,192,,2195-0949,unfertilized,2,189,,,,,,,,,,,,,0.75M NaCl
231031,192,,1810-2197,unfertilized,2,189,,,,,,,,,,,,,0.75M NaCl
231031,192,,1579-1569,unfertilized,2,189,,,,,,,,,,,,,0.75M NaCl
231031,188,,1953-0868,fold,2,20,death,21,189,,,,,,,,,,0.75M NaCl
231031,188,,1926-1515,proliferation,2,39,death,40,189,,,,,,,,,,0.75M NaCl
231031,188,,1733-0560,proliferation,2,12,bean,13,31,comma,32,33,fold,34,181,death,182,189,0.75M NaCl
231031,188,,1212-0808,fold,2,19,death,20,189,,,,,,,,,,0.75M NaCl
231031,186,,1674-2198,death,2,189,,,,,,,,,,,,,0.75M NaCl
231031,186,,0140-1550,proliferation,2,24,bean,25,47,comma,48,50,fold,51,88,death,89,189,0.75M NaCl
231031,184,,1766-0679,proliferation,2,49,death,50,189,,,,,,,,,,0.75M NaCl
231031,184,,1062-1498,proliferation,2,3,bean,4,70,death,71,189,,,,,,,0.75M NaCl
231031,181,,0978-0686,bean,2,65,comma,66,73,death,74,189,,,,,,,0.75M NaCl
231031,181,,1780-1597,proliferation,2,31,bean,32,78,death,79,189,,,,,,,
231031,177,,0888-1054,proliferation,2,9,bean,10,62,death,63,189,,,,,,,
231031,177,,0654-1304,proliferation,2,52,death,53,189,,,,,,,,,,
231031,176,,0716-1930,proliferation,2,8,bean,9,60,death,61,189,,,,,,,
231012,1,,1151-2036,bean,2,28,comma,29,31,fold,32,189,,,,,,,
231012,2,,0268-1665,proliferation,2,4,bean,5,24,comma,25,26,fold,27,189,,,,
231012,3,,0598-1650,proliferation,2,50,bean,51,64,comma,65,66,fold,67,189,,,,
231012,8,,2088-0169,proliferation,2,12,bean,13,38,comma,39,40,fold,41,189,,,,
231012,8,,0616-0754,fold,2,119,hatch,120,189,,,,,,,,,,
231012,8,,0784-0357,death,2,189,,,,,,,,,,,,,
231012,9,,2218-0789,death,2,189,,,,,,,,,,,,,
231012,11,,2161-0884,proliferation,2,10,bean,11,37,comma,38,40,fold,41,189,,,,
231012,11,,1843-0925,death,2,189,,,,,,,,,,,,,
231012,12,,1135-0142,proliferation,2,75,bean,76,97,comma,98,100,fold,101,189,,,,
231012,13,,1870-1984,proliferation,2,82,bean,83,109,comma,110,112,fold,113,189,,,,
231012,17,,1090-1678,proliferation,2,64,bean,65,97,comma,98,100,fold,101,189,,,,
231012,17,,0776-1273,proliferation,2,98,bean,97,120,comma,121,122,fold,123,189,,,,
231012,18,,1386-1967,comma,2,6,fold,7,189,,,,,,,,,,
231012,19,,0507-0478,proliferation,2,94,bean,95,118,comma,119,121,fold,122,189,,,,
231013,2,,0241-0714,proliferation,2,68,bean,69,90,comma,91,92,fold,93,169,hatch,170,189,
231013,2,,1732-1970,proliferation,2,40,bean,41,68,comma,69,71,fold,72,75,death,76,189,
231013,3,,1930-2141,proliferation,2,99,bean,100,117,comma,118,119,fold,120,189,,,,
231013,3,,1909-0280,proliferation,2,26,bean,27,45,comma,46,47,fold,58,144,hatch,145,189,
231013,5,,0803-0988,proliferation,2,27,bean,28,42,comma,43,44,fold,45,121,hatch,122,189,
231013,14,,0670-0830,proliferation,2,20,bean,21,38,comma,39,40,fold,41,156,hatch,157,189,
231013,14,,1372-0359,proliferation,2,24,bean,25,49,comma,40,41,fold,42,136,hatch,137,189,
231013,26,,1671-1073,proliferation,2,51,bean,52,74,comma,75,76,fold,77,152,hatch,153,189,
